Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living
whoi,Akashiwo,chromista,myzozoa,dinophyceae,gymnodiniales,gymnodiniaceae,akashiwo,,akashiwo,True,True
whoi,Amphidinium_sp,chromista,myzozoa,dinophyceae,amphidiniales,amphidiniaceae,amphidinium,,amphidinium,True,True
whoi,Asterionellopsis,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionellopsis,,asterionellopsis,True,True
whoi,Bacillaria,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,bacillaria,,bacillaria,True,True
whoi,Bidulphia,chromista,heterokontophyta,bacillariophyceae,biddulphiales,biddulphiaceae,biddulphia,,biddulphia,True,True
whoi,Cerataulina,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,cerataulina,,cerataulina,True,True
whoi,Cerataulina_flagellate,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,cerataulina,,cerataulina,True,True
whoi,Ceratium,chromista,myzozoa,dinophyceae,gonyaulacales,ceratiaceae,ceratium,,ceratium,True,True
whoi,Chaetoceros,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
whoi,Chaetoceros_didymus,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,didymus,chaetoceros didymus,True,True
whoi,Chaetoceros_didymus_flagellate,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,didymus,chaetoceros didymus,True,True
whoi,Chaetoceros_flagellate,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
whoi,Chaetoceros_other,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
whoi,Chaetoceros_pennate,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,chaetoceros,,chaetoceros,True,True
whoi,Chrysochromulina,chromista,haptophyta,coccolithophyceae,prymnesiales,chrysochromulinaceae,chrysochromulina,,chrysochromulina,True,True
whoi,Ciliate_mix,chromista,ciliophora,,,,,,ciliophora,True,True
whoi,Cochlodinium,chromista,myzozoa,dinophyceae,gymnodiniales,gymnodiniaceae,cochlodinium,,cochlodinium,True,True
whoi,Corethron,chromista,heterokontophyta,bacillariophyceae,corethrales,corethraceae,corethron,,corethron,True,True
whoi,Coscinodiscus,chromista,heterokontophyta,bacillariophyceae,coscinodiscales,coscinodiscaceae,coscinodiscus,,coscinodiscus,True,True
whoi,Cylindrotheca,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,cylindrotheca,,cylindrotheca,True,True
whoi,DactFragCerataul,chromista,heterokontophyta,bacillariophyceae,hemiaulales,hemiaulaceae,cerataulina,,cerataulina,True,True
whoi,Dactyliosolen,chromista,heterokontophyta,bacillariophyceae,rhizosoleniales,rhizosoleniaceae,dactyliosolen,,dactyliosolen,True,True
